PartId	Sex	Age	Country	Adieu
291	F	32	CH	2
292	F	33	CH	7
293	F	34	FR	0
294	F	34	CH	2
295	F	34	CH	1
296	M	36	FR	0
297	F	36	CH	9
298	F	37	CH	8
299	M	38	CH	2
300	M	38	CH	7
301	F	40	BE	0
302	M	41	CH	2
303	M	42	CH	0
304	F	42	CH	0
305	F	43	CH	2
306	F	45	CH	0
307	M	47	CH	1
308	F	48	BE	0
309	F	48	CH	0
310	M	49	FR	0
311	M	49	CH	10
312	M	50	CH	1
313	M	51	CH	9
314	M	51	CH	
315	M	52	FR	0
316	M	52	CH	0
317	M	55	CH	10
318	M	56	CH	2
319	M	57	CH	1
320	F	57	CH	2
321	F	58	BE	0
322	F	58	CH	0
323	F	59	CH	0
324	F	62	CH	1
325	F	63	BE	0
326	M	63	CH	6
327	F	64	CH	3
328	M	66	CH	2
329	F	67	FR	0
330	F	67	CH	6
331	M	69	CH	6
332	M	69	CH	0
333	F	70	BE	0
334	F	70	CH	0
335	F	70	CH	0
336	F	70	CH	3
337	M	72	CH	3
338	F	72	CH	0
339	M	76	CH	1
340	F	77	CH	1
341	M	40	CH	
342	F	69	CH	3
343	M	21	CH	4
344	F	22	CH	5
345	F	30	CH	2
346	M	30	CH	0
347	F	35	CH	10
348	M	43	CH	0
349	M	44	CH	0
350	M	49	CH	0
351	F	54	CH	
352	M	23	CH	2
353	M	28	CH	2
354	M	31	CH	0
355	M	37	CH	0
356	M	21	CH	4
357	F	22	CH	4
358	F	24	CH	2
359	M	25	CH	6
360	M	27	CH	8
361	M	32	CH	5
362	F	33	CH	1
363	F	34	CH	3
364	F	35	CH	1
365	F	36	CH	0
366	M	38	CH	9
367	M	41	CH	3
368	M	44	CH	1
369	F	49	CH	7
370	F	53	CH	2
371	F	56	CH	8
372	M	57	CH	1
373	M	20	CH	0
374	M	22	CH	8
375	F	22	CH	3
376	F	24	CH	9
377	F	26	CH	7
378	M	27	CH	8
379	M	35	CH	7
380	F	36	CH	0
381	M	39	CH	3
382	F	40	CH	9
383	F	42	CH	0
384	F	43	CH	0
385	M	44	CH	5
386	F	46	CH	2
387	F	54	CH	10
388	F	22	CH	6
389	M	27	CH	10
390	F	34	CH	9
391	F	35	CH	5
392	F	38	CH	8
393	M	38	CH	10
394	F	42	CH	3
395	M	43	CH	7
396	M	53	CH	8
397	F	56	CH	0
398	F	60	CH	1
399	F	60	CH	0
400	F	68	CH	10
401	F	71	CH	3
402	F	74	CH	0
403	F	19	CH	6
404	F	23	CH	6
405	M	25	CH	6
406	F	27	CH	8
407	M	27	CH	10
408	F	30	CH	4
409	F	30	CH	5
410	M	30	CH	0
411	F	41	CH	1
412	M	49	CH	8
413	M	49	CH	0
414	F	54	CH	0
415	M	55	CH	9
416	M	66	CH	6
417	F	75	CH	3
418	F	22	CH	7
419	F	23	CH	0
420	F	23	CH	10
421	F	26	CH	10
422	M	34	CH	4
423	F	35	CH	8
424	F	38	CH	2
425	M	39	CH	
426	F	26	CH	4
427	F	29	CH	7
428	F	30	CH	0
429	F	31	CH	6
430	F	35	CH	1
431	F	43	CH	2
432	M	49	CH	7
433	F	56	CH	3
434	F	62	CH	2
435	M	65	CH	0
436	F	67	CH	0
437	M	69	CH	9
438	F	28	CH	3
439	M	28	CH	4
440	M	28	CH	
441	F	30	CH	5
442	M	43	CH	10
443	F	49	CH	8
444	F	49	CH	
445	F	53	CH	0
446	M	68	CH	0
447	M	71	CH	0
448	F	35	CH	0
449	M	36	CH	4
450	F	37	BE	0
451	M	44	CH	5
452	F	45	CH	3
453	M	50	CH	2
454	M	63	CH	3
455	F	64	BE	0
456	F	23	CH	7
457	F	28	CH	8
458	F	29	CH	0
459	F	36	CH	9
460	M	51	CH	8
461	F	65	CH	0
462	M	85	CH	0
463	F	22	CH	10
464	F	36	CH	4
465	F	23	CH	8
466	F	24	CH	8
467	M	39	CH	2
468	F	43	CH	0
469	F	45	CH	2
470	M	46	CH	9
471	F	50	CH	7
472	M	57	CH	8
473	F	63	CH	
474	F	33	CH	7
475	F	24	CH	1
476	F	38	CH	4
477	M	66	CH	2
478	F	23	BE	0
479	M	23	BE	0
480	F	23	BE	0
481	F	26	CH	10
482	F	26	CH	7
483	F	27	BE	0
484	F	28	BE	0
485	F	30	BE	0
486	M	34	CH	6
487	F	39	CH	0
488	F	41	CH	0
489	F	50	BE	0
490	F	55	CH	3
491	F	70	CH	0
492	F	35	CH	10
493	M	35	CH	3
494	F	52	CH	0
495	M	37	CH	8
496	M	73	CH	0
497	F	28	CH	
498	F	35	CH	3
499	M	42	CH	7
500	F	27	CH	7
501	M	46	CH	9
502	M	59	CH	10
503	F	12	CH	4
504	F	23	CH	9
505	F	28	CH	6
506	M	30	BE	0
507	F	43	CH	7
508	F	43	CH	
509	M	48	CH	5
510	F	50	BE	0
511	F	64	BE	0
512	M	68	BE	0
513	F	35	CH	1
514	F	42	CH	8
515	F	18	BE	0
516	M	21	BE	0
517	M	28	BE	0
518	M	32	BE	0
519	F	33	BE	0
520	F	34	BE	0
521	F	35	BE	0
522	M	36	BE	0
523	M	49	BE	0
524	F	55	BE	0
525	M	70	BE	0
526	F	18	CH	6
527	F	26	CH	1
528	M	30	CH	5
529	M	36	CH	8
530	M	43	CH	10
531	M	71	CH	0
532	F	74	CH	0
533	F	25	CH	0
534	M	43	CH	9
535	M	16	BE	0
536	M	30	BE	0
537	F	50	BE	0
538	F	65	BE	0
539	F	14	CH	2
540	F	24	CH	3
541	F	27	CH	0
542	M	28	CH	0
543	F	30	CH	3
544	M	35	CH	3
545	F	44	CH	10
546	F	44	CH	
547	F	21	BE	0
548	M	22	BE	0
549	M	22	BE	0
550	F	24	BE	0
551	F	24	BE	0
552	F	28	BE	0
553	F	33	CH	2
554	M	36	BE	0
555	F	41	CH	10
556	M	56	BE	0
557	F	30	CH	1
558	F	41	CH	5
559	F	58	CH	7
560	F	43	CH	2
561	M	53	CH	7
562	M	22	CH	7
563	F	23	CH	3
564	F	47	BE	0
565	M	53	BE	0
566	F	54	BE	0
567	F	57	BE	0
568	F	64	BE	0
569	M	67	BE	0
570	F	40	CH	8
571	F	48	BE	0
572	F	24	CH	7
573	F	36	BE	0
574	M	47	BE	0
575	F	27	BE	0
576	M	30	BE	0
577	F	31	CH	4
578	F	36	BE	0
579	M	42	CH	7
580	M	64	CH	10
581	F	58	CH	4
582	F	24	BE	0
583	F	26	BE	1
584	F	35	BE	0
585	M	49	BE	0
586	F	47	CH	1
587	M	36	CH	1
588	F	58	CH	0
589	F	45	CH	0
590	M	47	CH	2
591	M	55	CH	7
592	F	69	CH	3
593	M	29	FR	0
594	M	64	BE	0
595	M	70	FR	1
596	F	94	CH	8
597	F	22	CH	0
598	F	22	CH	
599	F	24	CH	7
600	F	25	CH	0
601	M	25	CH	5
602	M	25	CH	
603	M	26	CH	7
604	F	30	FR	0
605	F	31	CH	3
606	M	38	CH	4
607	M	39	CH	0
608	M	40	CH	3
609	F	40	CH	0
610	M	47	CH	7
611	F	53	CH	1
612	M	73	CH	8
613	F	40	CH	6
614	M	21	CH	1
615	F	68	CH	0
616	M	30	CH	7
617	F	41	CH	1
618	M	70	CH	8
619	M	26	BE	0
620	F	31	BE	0
621	F	39	BE	7
622	M	65	FR	2
623	M	25	CH	2
624	F	46	CH	0
625	F	52	CH	9
626	F	52	CH	
627	M	66	CH	0
628	F	17	CH	6
629	M	37	CH	9
630	M	46	CH	0
631	F	75	CH	2
632	F	18	BE	1
633	F	18	BE	0
634	F	19	FR	0
635	F	21	BE	
636	M	22	BE	0
637	F	29	BE	0
638	M	30	FR	0
639	F	36	BE	0
640	M	37	BE	0
641	M	46	BE	0
642	M	21	BE	2
643	M	22	BE	0
644	M	22	BE	0
645	F	40	BE	0
646	F	53	FR	0
647	F	57	BE	0
648	F	30	CH	3
649	F	30	CH	
650	F	32	CH	0
651	F	26	CH	7
652	M	29	CH	6
653	F	75	CH	8
654	M	22	CH	6
655	F	52	CH	3
656	F	23	BE	
657	M	25	BE	0
658	M	26	CH	8
659	F	27	BE	0
660	F	27	CH	10
661	M	28	FR	1
662	M	31	FR	0
663	F	32	CH	4
664	F	38	CH	10
665	M	39	BE	0
666	F	39	FR	0
667	F	40	CH	2
668	F	42	CH	0
669	F	47	BE	0
670	F	48	BE	0
671	F	55	FR	0
672	F	56	CH	1
673	M	57	CH	7
674	M	61	CH	1
675	M	61	CH	9
676	M	51	CH	7
677	F	27	CH	9
678	F	32	CH	2
679	F	72	CH	0
680	F	21	BE	0
681	F	22	BE	0
682	F	22	BE	0
683	F	25	BE	0
684	F	29	BE	0
685	F	31	BE	0
686	M	34	BE	0
687	F	37	BE	0
688	F	47	BE	0
689	F	55	BE	0
690	M	56	CH	2
691	F	60	BE	0
692	M	62	CH	0
693	M	63	BE	0
694	M	70	BE	0
695	M	54	CH	7
696	M	26	CH	10
697	F	40	CH	3
698	F	20	BE	0
699	F	20	BE	
700	F	20	BE	
701	F	20	FR	0
702	F	26	FR	0
703	F	31	FR	0
704	F	54	BE	0
705	F	57	CH	0
706	F	22	CH	2
707	F	22	CH	7
708	M	29	CH	9
709	F	54	CH	0
710	M	59	CH	0
711	M	43	CH	0
712	M	19	BE	0
713	M	19	CH	0
714	F	22	FR	10
715	F	24	CH	0
716	M	26	CH	0
717	M	30	CH	2
718	F	31	CH	0
719	F	31	CH	3
720	F	31	CH	0
721	F	34	FR	0
722	F	36	CH	3
723	F	39	BE	0
724	M	39	FR	0
725	M	43	BE	0
726	F	44	CH	0
727	F	50	CH	0
728	M	50	CH	9
729	F	51	CH	0
730	F	52	BE	0
731	F	52	BE	0
732	F	52	CH	1
733	M	52	CH	3
734	F	52	CH	0
735	M	53	CH	0
736	M	53	CH	10
737	F	54	BE	0
738	F	56	BE	0
739	F	57	CH	0
740	F	57	CH	
741	F	57	CH	2
742	F	57	CH	
743	F	58	CH	0
744	F	59	CH	3
745	M	60	CH	7
746	F	61	CH	5
747	M	62	CH	0
748	M	63	CH	2
749	M	65	CH	5
750	F	65	CH	0
751	M	66	BE	0
752	F	66	CH	0
753	F	66	CH	3
754	F	66	CH	3
755	F	66	CH	3
756	M	67	CH	
757	F	67	CH	0
758	M	68	CH	0
759	F	69	CH	2
760	M	69	CH	10
761	M	69	CH	3
762	F	71	CH	0
763	M	72	CH	0
764	F	73	CH	0
765	M	73	CH	0
766	M	75	CH	0
767	M	77	CH	7
768	M	78	CH	0
769	F	23	CH	1
770	F	24	CH	6
771	F	26	CH	0
772	F	27	CH	0
773	F	32	CH	3
774	M	32	CH	0
775	M	34	CH	0
776	M	54	CH	6
777	M	54	CH	1
778	M	56	CH	0
779	F	60	CH	0
780	M	72	CH	0
781	M	24	CH	0
782	F	30	CH	7
783	F	33	CH	9
784	F	40	CH	0
785	M	40	CH	8
786	F	50	CH	10
787	F	52	CH	0
788	F	54	CH	
789	M	63	CH	3
790	M	14	CH	1
791	F	21	CH	1
792	F	21	CH	8
793	F	22	CH	0
794	F	27	CH	3
795	F	27	CH	
796	F	29	CH	0
797	F	31	CH	7
798	F	37	CH	1
799	M	43	CH	5
800	F	47	CH	0
801	F	49	CH	8
802	M	50	CH	8
803	M	50	CH	2
804	M	52	CH	3
805	F	58	CH	0
806	M	59	CH	2
807	M	72	CH	6
808	M	32	CH	0
809	F	57	CH	1
810	F	58	CH	1
